class_name,sentence
Performance,The system shall refresh the display every 60 seconds.
Performance,The product shall respond fast to keep up-to-date data in the display.
Performance,The product shall produce search results in an acceptable time
Performance,The search results shall be returned no later 30      seconds  after the user has entered the search criteria
Performance,The product shall generate a CMA report in an acceptable time.
Performance,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.
Performance,The product shall synchronize contacts and appointments in an acceptable time.
Performance,The product shall synchronize with the office system every hour.
Performance,Staff members shall be able to complete a set of tasks in a timely manner.
Performance,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.
Performance,The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.
Performance,The Disputes application shall support 350 concurrent users without any degradation of performance in the application.
Performance,The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.
Performance,The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds
Performance,The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.
Performance,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.
Performance,The response shall be fast enough to avoid interrupting the user's flow of thought.  90% of tasks shall complete within 5 seconds.  98% of tasks shall complete within 8 seconds.
Performance,Recreation of C360Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.
Performance,The System shall allow for a minimum of  6 users to work at the same time.
Performance,Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.
Performance,Customer shall be able to check the status of their prepaid card  by entering in the PIN number  in under 5 seconds.
Performance,"System shall let customers register on the website as a ""pay as you go"" user in under 5 minutes."
Performance,"System shall let customers register on the website as a ""unlimited movie subscriber"" user in under 10 minutes."
Performance,System shall let existing customers log into the website with their email address and password in under 5 seconds
Performance,System shall let customers cancel their account  process shall take no longer than 2 minutes.  Database will mark the account as inactive  and user will not be able to log into the website.
Performance,System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.
